[metal-load] native quantized token embedding policy: unsupported (Q6_K [1024, 248320])
[metal-load-ledger] source=321/730144000 direct_copy=320/521555200 direct_view=0/0 direct_alias=0/0 tail_fallback=0/0 converted=1/208588800/1017118720 derived=0/0
[decode-dense-whole-batch] model=/Users/tito/models/Qwen3.5-0.8B-Q4_K_M.gguf batch=8 warmup_steps=2 measured_steps=6 ramp_ms=500 ramp_repetitions=37 baseline=production_concurrent_gdn candidate=layer_major_static_b8 frontier=short_equal attention=causal_multikey lm_head=batched fused_post_norm=false measurement_authority=serialized_short_frontier_only independent_queue_gate=pending allocation_delta_bytes=482213888
phase	position	order	serial_wall_ms	serial_gpu_sum_ms	static_wall_ms	static_gpu_ms	wall_speedup	gpu_speedup	min_cos_logits	max_abs_logits	max_relative_rms_logits	min_cos_x	max_abs_x	max_relative_rms_x	argmax
warmup	0	serial_static	24.0943	17.9135	13.7197	12.3446	1.7562	1.4511	0.999998268	0.021928	0.001863090	0.999999047	0.004868	0.001385338	95726,106476,198,96983,96043,198,2314,286
warmup	1	static_serial	20.6629	18.2598	13.5954	12.3180	1.5198	1.4824	0.999999540	0.012110	0.000961417	0.999999567	0.003673	0.000931096	198,198,198,198,198,198,310,198
measured	2	serial_static	21.4725	18.5718	13.0655	12.2466	1.6435	1.5165	0.999999134	0.012608	0.001409327	0.999999596	0.003456	0.000949481	198,198,198,198,99130,3709,198,198
measured	3	static_serial	20.6707	18.2827	13.5652	12.3082	1.5238	1.4854	0.999999292	0.013646	0.001190915	0.999999165	0.005432	0.001291933	198,220,198,198,220,198,198,198
measured	4	serial_static	21.4760	18.4509	12.9878	12.2265	1.6536	1.5091	0.999999588	0.010099	0.000915703	0.999999648	0.003749	0.000838741	1765,198,539,9528,198,198,198,198
measured	5	static_serial	20.5297	18.0227	13.4155	12.1564	1.5303	1.4826	0.999999611	0.012229	0.000889022	0.999999680	0.003160	0.000805952	15303,271,220,520,198,198,6,198
measured	6	serial_static	21.2866	18.2958	12.9714	12.1721	1.6410	1.5031	0.999999699	0.008182	0.000786028	0.999999814	0.003830	0.000633453	198,271,198,68,220,364,1134,6
measured	7	static_serial	20.6435	18.1728	13.6265	12.4147	1.5150	1.4638	0.999999720	0.009023	0.000752148	0.999999775	0.003364	0.000671667	271,271,198,95726,220,1710,198,5525
summary	batch=8	measurement_authority=serialized_short_frontier_only	independent_queue_gate=pending	serial_median_wall_ms=20.9786	static_median_wall_ms=13.2405	paired_median_wall_speedup=1.5857	serial_aggregate_tps=381.340	static_aggregate_tps=604.207	serial_median_gpu_sum_ms=18.2893	static_median_gpu_ms=12.2366	gpu_speedup=1.4946	worst_min_cos_logits=0.999998268	worst_max_abs_logits=0.021928	worst_max_relative_rms_logits=0.001863090	worst_min_cos_x=0.999999047	worst_max_abs_x=0.005432	worst_max_relative_rms_x=0.001385338	min_cos_state=0.999999587	max_abs_state=0.003778	min_cos_conv=0.999999864	max_abs_conv=0.011698	min_cos_kv=0.999999839	max_abs_kv=0.015625
