[metal-load] native quantized token embedding policy: auto-promoted (Q4_K [5120, 248320])
[metal-load-ledger] source=851/16806250496 direct_copy=851/16806250496 direct_view=0/0 direct_alias=0/0 tail_fallback=0/0 converted=0/0/0 derived=0/0
[decode-dense-whole-batch] model=/Users/tito/models/Qwen3.6-27B-Q4_K_M.gguf batch=8 warmup_steps=2 measured_steps=6 ramp_ms=500 ramp_repetitions=4 baseline=production_concurrent_gdn candidate=layer_major_static_b8 frontier=short_equal attention=causal_multikey lm_head=batched fused_post_norm=false measurement_authority=serialized_short_frontier_only independent_queue_gate=pending allocation_delta_bytes=1956134912
phase	position	order	serial_wall_ms	serial_gpu_sum_ms	static_wall_ms	static_gpu_ms	wall_speedup	gpu_speedup	min_cos_logits	max_abs_logits	max_relative_rms_logits	min_cos_x	max_abs_x	max_relative_rms_x	argmax
warmup	0	serial_static	321.8995	306.6542	120.1882	117.7157	2.6783	2.6050	0.999999907	0.005969	0.000433935	0.999999899	0.089401	0.000448811	15303,104302,126591,99444,96043,148634,689,173506
warmup	1	static_serial	310.5756	307.0898	121.0728	118.5058	2.5652	2.5913	0.999999915	0.006902	0.000431796	0.999999825	0.117706	0.000617808	198,198,198,98093,31218,11,310,50349
measured	2	serial_static	312.1313	308.0238	121.7376	119.0078	2.5640	2.5883	0.999999950	0.006432	0.000316998	0.999999878	0.082596	0.000501415	271,314,198,198,101857,95895,271,271
measured	3	static_serial	310.8129	307.3922	121.7248	119.1306	2.5534	2.5803	0.999999479	0.020712	0.001027374	0.999998834	0.174248	0.001528248	198,198,198,2887,220,271,922,25
measured	4	serial_static	312.1566	308.0870	121.6627	118.7950	2.5658	2.5934	0.999999520	0.024388	0.001005136	0.999998495	0.330963	0.001735626	264,271,74631,42409,220,313,271,220
measured	5	static_serial	311.3840	307.9801	121.5518	118.9708	2.5617	2.5887	0.999999853	0.007793	0.000542937	0.999999762	0.095901	0.000738679	198,271,149189,64,220,271,6,220
measured	6	serial_static	311.4527	307.2807	121.5210	118.7800	2.5630	2.5870	0.999999854	0.007321	0.000586418	0.999999704	0.070927	0.000771936	198,271,21414,10903,220,271,2573,6
measured	7	static_serial	311.1766	307.7028	121.2250	118.6062	2.5669	2.5943	0.999999892	0.005933	0.000497010	0.999999903	0.103462	0.000444256	198,271,271,271,220,271,13,161638
summary	batch=8	measurement_authority=serialized_short_frontier_only	independent_queue_gate=pending	serial_median_wall_ms=311.4184	static_median_wall_ms=121.6073	paired_median_wall_speedup=2.5635	serial_aggregate_tps=25.689	static_aggregate_tps=65.786	serial_median_gpu_sum_ms=307.8415	static_median_gpu_ms=118.8829	gpu_speedup=2.5895	worst_min_cos_logits=0.999999479	worst_max_abs_logits=0.024388	worst_max_relative_rms_logits=0.001027374	worst_min_cos_x=0.999998495	worst_max_abs_x=0.330963	worst_max_relative_rms_x=0.001735626	min_cos_state=0.999999658	max_abs_state=0.002332	min_cos_conv=0.999999638	max_abs_conv=0.009260	min_cos_kv=0.999999759	max_abs_kv=0.062500
